"Date","Chrome","IE","Firefox","Safari","Opera","Android","Samsung Internet","IEMobile","Edge Legacy","Edge","Nokia","UC Browser","Microsoft-WebDAV","BlackBerry","360 Safe Browser","Maxthon","Chromium","NetFront","Yandex Browser","Mozilla","Instabridge","Sony PS4","Obigo","Puffin","Other"
2009-01,1.16,85.43,12.15,0.57,0.57,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0.06
2009-02,1.19,85.25,12.3,0.6,0.51,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0.06,0,0,0,0,0.06
2009-03,1.17,85.44,12.12,0.6,0.55,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0.05
2009-04,1.41,84.53,12.82,0.6,0.52,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0.04
2009-05,2.14,84.19,12.32,0.64,0.53,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0.05
2009-06,2.38,83.66,12.56,0.66,0.51,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0.15,0,0,0,0,0.05
2009-07,2.44,84.6,11.71,0.6,0.52,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0.04
2009-08,2.66,83.2,12.78,0.68,0.53,0,0,0,0,0,0.04,0,0,0,0,0,0,0.01,0,0.07,0,0,0,0,0.03
2009-09,2.98,82.81,12.88,0.68,0.51,0,0,0,0,0,0.03,0,0,0,0,0,0,0.01,0,0.08,0,0,0,0,0.03
2009-10,3.35,82.34,13,0.65,0.51,0,0,0,0,0,0.03,0,0,0,0,0,0,0.01,0,0.07,0,0,0,0,0.03
2009-11,2.98,84.89,10.97,0.56,0.44,0,0,0,0,0,0.03,0,0,0,0,0,0,0.01,0,0.09,0,0,0,0,0.03
2009-12,2.75,87.13,9.08,0.43,0.39,0,0,0,0,0,0.04,0,0,0,0,0.03,0,0.02,0,0.08,0,0,0,0,0.04
2010-01,2.84,87.29,8.8,0.46,0.38,0,0,0,0,0,0.06,0,0,0,0,0.04,0,0.03,0,0.06,0,0,0,0,0.04
2010-02,4.38,82.3,12.03,0.65,0.46,0,0,0,0,0,0.06,0,0,0,0,0.01,0,0.02,0,0.03,0,0,0,0,0.05
2010-03,5.56,79.1,13.75,0.78,0.56,0,0,0,0,0,0.09,0,0,0.01,0,0.02,0,0.04,0,0.03,0,0,0,0,0.06
2010-04,6,78.97,13.54,0.72,0.5,0,0,0,0,0,0.07,0,0,0.01,0,0.01,0,0.02,0,0.03,0,0,0,0,0.13
2010-05,6.49,78.4,13.34,0.78,0.57,0,0,0,0,0,0.09,0,0,0.01,0,0.01,0,0.03,0,0.02,0,0,0,0,0.26
2010-06,6.78,78.82,12.93,0.76,0.51,0,0,0,0,0,0.09,0,0,0.01,0,0.01,0,0.02,0,0.02,0,0,0,0,0.05
2010-07,7.18,78.55,12.76,0.73,0.53,0,0,0,0,0,0.11,0,0,0.01,0,0.01,0,0.03,0,0.02,0,0,0,0,0.06
