"Date","Chrome","IE","Firefox","Safari","Opera","Android","Samsung Internet","IEMobile","Edge Legacy","Edge","Nokia","UC Browser","Microsoft-WebDAV","BlackBerry","360 Safe Browser","Maxthon","Chromium","NetFront","Yandex Browser","Mozilla","Instabridge","Sony PS4","Obigo","Puffin","Other"
2009,2.49,84.49,11.77,0.6,0.49,0,0,0,0,0,0.03,0,0,0,0,0.01,0,0.01,0,0.08,0,0,0,0,0.04
2010,7.62,78.27,12.56,0.72,0.51,0.01,0,0,0,0,0.13,0,0,0.01,0,0.01,0,0.04,0,0.02,0,0,0,0,0.1
2011,17.69,66.76,13.18,0.83,0.6,0.3,0,0,0,0,0.34,0,0,0.04,0,0.01,0.01,0.05,0,0,0,0,0.03,0,0.16
2012,39.38,41.98,14.69,1.41,0.89,1.05,0,0.01,0,0,0.23,0.01,0,0.08,0,0.03,0.02,0.03,0,0,0,0,0.03,0,0.16
2013,54.53,26.83,12.07,2.08,1.24,2.15,0,0.12,0,0,0.29,0.08,0,0.15,0.07,0.06,0.02,0.02,0,0.01,0,0,0.02,0.01,0.25
2014,66.35,15.49,8.87,2.81,1.31,3.12,0,0.57,0,0,0.48,0.16,0,0.24,0.22,0.09,0.02,0.02,0.01,0.01,0,0,0.01,0.01,0.2
2015,71.78,9.98,6.86,3.02,2.43,3.48,0,1.01,0.16,0,0.23,0.21,0,0.18,0.22,0.11,0.05,0.01,0.02,0.03,0,0.01,0.01,0.02,0.17
2016,81.19,3.18,4.64,3.13,1.77,2.27,0.63,0.94,0.65,0,0.02,0.22,0.77,0.08,0.14,0.09,0.06,0,0.02,0.03,0,0.02,0.01,0.03,0.12
2017,84.5,1.62,3.62,3.57,2.02,1.38,1.05,0.55,0.83,0,0.01,0.21,0.22,0.03,0.06,0.05,0.08,0,0.02,0,0,0.05,0.01,0.03,0.1
2018,87.53,0.96,2.9,3.75,1.48,0.72,1.04,0.22,0.92,0,0,0.12,0,0.01,0.02,0.03,0.06,0,0.05,0.01,0,0.06,0,0.03,0.07
2019,88.6,0.5,2.59,4.16,1.51,0.3,1.06,0.08,0.87,0,0,0.07,0,0,0.01,0.02,0.02,0,0.06,0.01,0,0.04,0,0.02,0.07
2020,88.71,0.24,2.16,4.05,1.58,0.15,1.06,0.02,0.43,1.39,0,0.04,0,0,0.01,0.01,0.02,0,0.05,0.01,0,0.04,0,0.02,0.03
2021,87.78,0.19,1.48,3.82,2.31,0.16,1.34,0,0.08,2.64,0,0.04,0,0,0.01,0.01,0.01,0,0.03,0.01,0,0.03,0,0.01,0.03
2022,86.65,0.08,1.31,4,2.68,0.15,1.4,0,0.03,2.88,0,0.03,0,0,0,0,0,0,0.03,0.01,0.65,0.02,0,0.02,0.04
2023,86.24,0.08,1.23,4.51,3.12,0.13,1.51,0,0.02,2.96,0,0.03,0,0,0,0,0,0,0.03,0.01,0.03,0.02,0,0.01,0.06
